City Name,Zipcode
NAPA,94558
FAIRFIELD,94533
DIXON,95620
SONOMA,95476
NAPA,94559
PETALUMA,94954
RIO VISTA,94571
TRAVIS AFB,94535
AMERICAN CANYON,94503
NOVATO,94949
NOVATO,94945
BIRDS LANDING,94512
VALLEJO,94591
BENICIA,94510
VALLEJO,94592
VALLEJO,94589
NOVATO,94947
VALLEJO,94590
NICASIO,94946
OAKLEY,94561
CROCKETT,94525
PORT COSTA,94569
SUISUN CITY,94585
SAN FRANCISCO,94103
PITTSBURG,94565
SAN RAFAEL,94903
CONCORD,94520
RODEO,94572
MARTINEZ,94553
HERCULES,94547
SAN GERONIMO,94963
LAGUNITAS,94938
ALAMEDA,94502
ANTIOCH,94509
SAN ANSELMO,94960
BRENTWOOD,94513
SAN FRANCISCO,94109
CONCORD,94521
FAIRFAX,94930
WOODACRE,94973
FOREST KNOLLS,94933
WALNUT CREEK,94598
PINOLE,94564
RICHMOND,94801
CONCORD,94519
SAN PABLO,94806
SAN RAFAEL,94901
ANTIOCH,94531
EL SOBRANTE,94803
OAKLAND,94601
PLEASANT HILL,94523
CONCORD,94518
GREENBRAE,94904
SAN FRANCISCO,94115
LAFAYETTE,94549
CLAYTON,94517
RICHMOND,94805
RICHMOND,94804
LARKSPUR,94939
SAN QUENTIN,94964
EL CERRITO,94530
CORTE MADERA,94925
WALNUT CREEK,94596
BERKELEY,94708
SAN FRANCISCO,94105
MILL VALLEY,94941
ORINDA,94563
BERKELEY,94720
BERKELEY,94707
BYRON,94514
STINSON BEACH,94970
ALBANY,94706
BERKELEY,94710
SAN FRANCISCO,94104
WALNUT CREEK,94595
BERKELEY,94709
BERKELEY,94703
BERKELEY,94704
ALAMO,94507
BERKELEY,94702
SAUSALITO,94965
MORAGA,94556
BELVEDERE TIBURON,94920
SAN FRANCISCO,94118
BERKELEY,94705
OAKLAND,94611
OAKLAND,94618
OAKLAND,94609
LIVERMORE,94550
EMERYVILLE,94608
DIABLO,94528
DANVILLE,94526
DANVILLE,94506
SAN FRANCISCO,94130
OAKLAND,94607
SAN FRANCISCO,94123
OAKLAND,94610
SAN RAMON,94583
OAKLAND,94602
OAKLAND,94612
CASTRO VALLEY,94546
SAN FRANCISCO,94133
SAN FRANCISCO,94129
OAKLAND,94606
SAN FRANCISCO,94111
OAKLAND,94619
SAN FRANCISCO,94121
SAN FRANCISCO,94102
CASTRO VALLEY,94552
ALAMEDA,94501
SAN FRANCISCO,94108
OAKLAND,94605
OAKLAND,94613
SAN FRANCISCO,94117
SAN FRANCISCO,94122
OAKLAND,94621
SAN FRANCISCO,94114
SAN FRANCISCO,94107
SAN FRANCISCO,94110
PLEASANTON,94588
SAN FRANCISCO,94131
OAKLAND,94603
SAN FRANCISCO,94116
SAN FRANCISCO,94124
SAN FRANCISCO,94127
SAN LEANDRO,94577
SAN FRANCISCO,94132
SAN FRANCISCO,94112
SAN FRANCISCO,94134
DUBLIN,94568
SAN LEANDRO,94578
DALY CITY,94015
BRISBANE,94005
DALY CITY,94014
SAN LEANDRO,94579
SAN LORENZO,94580
HAYWARD,94541
PLEASANTON,94566
HAYWARD,94542
HAYWARD,94544
PACIFICA,94044
HAYWARD,94545
SUNOL,94586
SOUTH SAN FRANCISCO,94080
UNION CITY,94587
SAN BRUNO,94066
SAN FRANCISCO,94128
SAN MATEO,94401
HALF MOON BAY,94019
MILLBRAE,94030
FREMONT,94555
MOSS BEACH,94038
BURLINGAME,94010
FREMONT,94536
FREMONT,94539
SAN MATEO,94402
SAN MATEO,94404
SAN MATEO,94403
FREMONT,94538
NEWARK,94560
REDWOOD CITY,94065
REDWOOD CITY,94063
ATHERTON,94027
BELMONT,94002
SAN CARLOS,94070
SAN JOSE,95134
ALVISO,95002
REDWOOD CITY,94062
SUNNYVALE,94089
PALO ALTO,94301
MENLO PARK,94025
PALO ALTO,94303
MILPITAS,95035
MOUNT HAMILTON,95140
REDWOOD CITY,94061
MOUNTAIN VIEW,94043
PALO ALTO,94304
STANFORD,94305
MOUNTAIN VIEW,94035
PALO ALTO,94306
PORTOLA VALLEY,94028
MOUNTAIN VIEW,94040
LOS ALTOS,94022
SUNNYVALE,94085
SUNNYVALE,94086
LOS ALTOS,94024
SUNNYVALE,94087
